code,name,listing_board
GTRA,Grahaprima Suksesmandiri Tbk.,Pengembangan
GTSI,GTS Internasional Tbk.,Pemantauan Khusus
GULA,Aman Agrindo Tbk.,Pengembangan
GUNA,Gunanusa Eramandiri Tbk.,Pengembangan
GWSA,Greenwood Sejahtera Tbk.,Pengembangan
GZCO,Gozco Plantations Tbk.,Pengembangan
HADE,Himalaya Energi Perkasa Tbk.,Pemantauan Khusus
HAIS,Hasnur Internasional Shipping,Pengembangan
HAJJ,Arsy Buana Travelindo Tbk.,Akselerasi
HALO,Haloni Jane Tbk.,Pengembangan
HATM,Habco Trans Maritima Tbk.,Utama
HBAT,Minahasa Membangun Hebat Tbk.,Akselerasi
HDFA,Radana Bhaskara Finance Tbk.,Pengembangan
HDIT,Hensel Davest Indonesia Tbk.,Pemantauan Khusus
HDTX,Panasia Indo Resources Tbk.,Pemantauan Khusus
HEAL,Medikaloka Hermina Tbk.,Utama
HELI,Jaya Trishindo Tbk.,Pengembangan
HERO,DFI Retail Nusantara Tbk.,Pengembangan
HEXA,Hexindo Adiperkasa Tbk.,Utama
HGII,Hero Global Investment Tbk.,Pengembangan
HILL,Hillcon Tbk.,Utama
HITS,Humpuss Intermoda Transportasi,Utama
HKMU,HK Metals Utama Tbk.,Pemantauan Khusus
HMSP,H.M. Sampoerna Tbk.,Pengembangan
HOKI,Buyung Poetra Sembada Tbk.,Utama
HOME,Hotel Mandarine Regency Tbk.,Pemantauan Khusus
HOMI,Grand House Mulia Tbk.,Pengembangan
HOPE,Harapan Duta Pertiwi Tbk.,Pemantauan Khusus
HOTL,Saraswati Griya Lestari Tbk.,Pemantauan Khusus
HRME,Menteng Heritage Realty Tbk.,Pemantauan Khusus
HRTA,Hartadinata Abadi Tbk.,Utama
HRUM,Harum Energy Tbk.,Utama
HUMI,Humpuss Maritim Internasional,Pengembangan
HYGN,Ecocare Indo Pasifik Tbk.,Pengembangan
IATA,MNC Energy Investments Tbk.,Pemantauan Khusus
IBFN,Intan Baru Prana Tbk.,Pemantauan Khusus
IBOS,Indo Boga Sukses Tbk.,Akselerasi
IBST,Inti Bangun Sejahtera Tbk.,Pemantauan Khusus
ICBP,Indofood CBP Sukses Makmur Tbk,Utama
ICON,Island Concepts Indonesia Tbk.,Pemantauan Khusus
IDEA,Idea Indonesia Akademi Tbk.,Akselerasi
IDPR,Indonesia Pondasi Raya Tbk.,Pengembangan
IFII,Indonesia Fibreboard Industry,Pengembangan
IFSH,Ifishdeco Tbk.,Pengembangan
IGAR,Champion Pacific Indonesia Tbk,Pengembangan
IIKP,Inti Agri Resources Tbk,Pemantauan Khusus
IKAI,Intikeramik Alamasri Industri,Pemantauan Khusus
IKAN,Era Mandiri Cemerlang Tbk.,Pemantauan Khusus
IKBI,Sumi Indo Kabel Tbk.,Pengembangan
IKPM,Ikapharmindo Putramas Tbk.,Pengembangan
IMAS,Indomobil Sukses Internasional,Utama
IMJS,Indomobil Multi Jasa Tbk.,Pengembangan
IMPC,Impack Pratama Industri Tbk.,Utama
INAF,Indofarma Tbk.,Pemantauan Khusus
INAI,Indal Aluminium Industry Tbk.,Pengembangan
INCF,Indo Komoditi Korpora Tbk.,Pemantauan Khusus
INCI,Intanwijaya Internasional Tbk,Pengembangan
INCO,Vale Indonesia Tbk.,Utama
INDF,Indofood Sukses Makmur Tbk.,Utama
INDO,Royalindo Investa Wijaya Tbk.,Pengembangan
INDR,Indo-Rama Synthetics Tbk.,Pengembangan
INDS,Indospring Tbk.,Pengembangan
INDX,Tanah Laut Tbk,Pengembangan
INDY,Indika Energy Tbk.,Utama
INET,Sinergi Inti Andalan Prima Tbk,Pengembangan
INKP,Indah Kiat Pulp & Paper Tbk.,Utama
INOV,Inocycle Technology Group Tbk.,Pengembangan
INPC,Bank Artha Graha Internasional,Utama
INPP,Indonesian Paradise Property T,Pengembangan
INPS,Indah Prakasa Sentosa Tbk.,Pengembangan
INRU,Toba Pulp Lestari Tbk.,Pengembangan
INTA,Intraco Penta Tbk.,Pemantauan Khusus
INTD,Inter Delta Tbk,Pengembangan
INTP,Indocement Tunggal Prakarsa Tb,Utama
IOTF,Sumber Sinergi Makmur Tbk.,Pengembangan
IPAC,Era Graharealty Tbk.,Akselerasi
IPCC,Indonesia Kendaraan Terminal T,Utama
IPCM,Jasa Armada Indonesia Tbk.,Pengembangan
IPOL,Indopoly Swakarsa Industry Tbk,Pengembangan
IPPE,Indo Pureco Pratama Tbk.,Pemantauan Khusus
IPTV,MNC Vision Networks Tbk.,Pemantauan Khusus
IRRA,Itama Ranoraya Tbk.,Pengembangan
IRSX,Aviana Sinar Abadi Tbk.,Pemantauan Khusus
ISAP,Isra Presisi Indonesia Tbk.,Akselerasi
ISAT,Indosat Tbk.,Utama
ISEA,Indo American Seafoods Tbk.,Pengembangan
ISSP,Steel Pipe Industry of Indones,Utama
ITIC,Indonesian Tobacco Tbk.,Pengembangan
ITMA,Sumber Energi Andalan Tbk.,Pengembangan
ITMG,Indo Tambangraya Megah Tbk.,Utama
JARR,Jhonlin Agro Raya Tbk.,Utama
